station,date_ym,total_rainfall,no_of_rainy_days
Marina Barrage,2014-12-01,455.0,22
Marina Barrage,2015-01-01,123.4,12
Marina Barrage,2015-02-01,49.4,5
Marina Barrage,2015-03-01,101.2,9
Marina Barrage,2015-04-01,259.2,17
Marina Barrage,2015-05-01,148.8,12
Marina Barrage,2015-06-01,49.0,9
Marina Barrage,2015-07-01,79.0,10
Marina Barrage,2015-08-01,163.0,14
Marina Barrage,2015-09-01,59.2,5
Marina Barrage,2015-10-01,73.39999999999999,6
Marina Barrage,2015-11-01,170.6,14
Marina Barrage,2015-12-01,238.6,21
Marina Barrage,2016-01-01,135.6,21
Marina Barrage,2016-02-01,176.2,12
Marina Barrage,2016-03-01,27.8,3
Marina Barrage,2016-04-01,66.0,13
Marina Barrage,2016-05-01,207.2,13
Marina Barrage,2016-06-01,145.8,16
Marina Barrage,2016-07-01,207.0,18
Marina Barrage,2016-08-01,97.0,10
Marina Barrage,2016-09-01,212.0,15
Marina Barrage,2016-10-01,255.79999999999998,19
Marina Barrage,2016-11-01,244.4,21
Marina Barrage,2016-12-01,184.8,18
Marina Barrage,2017-01-01,194.4,18
Marina Barrage,2017-02-01,164.0,15
Marina Barrage,2017-03-01,168.4,16
Marina Barrage,2017-04-01,226.20000000000002,17
Marina Barrage,2017-05-01,152.6,10
Marina Barrage,2017-06-01,79.4,6
Marina Barrage,2017-07-01,113.6,10
Marina Barrage,2017-08-01,87.6,18
Marina Barrage,2017-09-01,187.2,15
Marina Barrage,2017-10-01,161.4,16
Marina Barrage,2017-11-01,259.40000000000003,21
Marina Barrage,2017-12-01,124.6,19
Marina Barrage,2018-01-01,261.2,18
Marina Barrage,2018-02-01,6.0,5
Marina Barrage,2018-03-01,108.4,12
Marina Barrage,2018-04-01,214.6,11
Marina Barrage,2018-05-01,49.800000000000004,15
Marina Barrage,2018-06-01,138.8,14
Marina Barrage,2018-07-01,35.8,9
Marina Barrage,2018-08-01,53.8,5
Marina Barrage,2018-09-01,127.60000000000001,12
Marina Barrage,2018-10-01,200.8,15
Marina Barrage,2018-11-01,294.8,21
Marina Barrage,2018-12-01,132.6,13
Marina Barrage,2019-01-01,138.2,9
Marina Barrage,2019-02-01,20.0,3
Marina Barrage,2019-03-01,61.2,8
Marina Barrage,2019-04-01,167.4,8
Marina Barrage,2019-05-01,127.0,11
Marina Barrage,2019-06-01,36.2,9
Marina Barrage,2019-07-01,40.6,5
Marina Barrage,2019-08-01,20.0,4
Marina Barrage,2019-09-01,29.200000000000003,5
Marina Barrage,2019-10-01,59.2,10
Marina Barrage,2019-11-01,48.8,8
Marina Barrage,2019-12-01,203.0,9
Marina Barrage,2020-01-01,38.6,8
Marina Barrage,2020-02-01,85.4,7
Marina Barrage,2020-03-01,72.0,10
Marina Barrage,2020-04-01,191.4,11
Marina Barrage,2020-05-01,273.2,14
Marina Barrage,2020-06-01,129.4,12
Marina Barrage,2020-07-01,144.4,15
Marina Barrage,2020-08-01,162.2,13
Marina Barrage,2020-09-01,315.8,19
Marina Barrage,2020-10-01,187.0,21
Marina Barrage,2020-11-01,267.2,20
Marina Barrage,2020-12-01,305.0,23
Marina Barrage,2021-01-01,486.20000000000005,17
Marina Barrage,2021-02-01,14.6,6
Marina Barrage,2021-03-01,220.2,15
Marina Barrage,2021-04-01,343.0,15
Marina Barrage,2021-05-01,216.8,16
Marina Barrage,2021-06-01,131.20000000000002,19
Marina Barrage,2021-07-01,204.60000000000002,15
Marina Barrage,2021-08-01,420.5,23
Marina Barrage,2021-09-01,156.4,17
Marina Barrage,2021-10-01,129.0,11
Marina Barrage,2021-11-01,307.2,23
Marina Barrage,2021-12-01,152.0,15
Marina Barrage,2022-01-01,134.8,10
Marina Barrage,2022-02-01,161.2,14
Marina Barrage,2022-03-01,190.2,14
Marina Barrage,2022-04-01,270.6,20
Marina Barrage,2022-05-01,144.20000000000002,11
Marina Barrage,2022-06-01,168.2,21
Marina Barrage,2022-07-01,92.5,9
Marina Barrage,2022-08-01,142.2,17
Marina Barrage,2022-09-01,154.8,14
Marina Barrage,2022-10-01,391.4,23
Marina Barrage,2022-11-01,229.8,24
Newton,2012-01-01,182.0,15
Newton,2012-02-01,83.8,11
Newton,2012-03-01,277.8,19
Newton,2012-04-01,236.2,25
Newton,2012-05-01,193.4,23
Newton,2012-06-01,65.19999999999999,10
Newton,2012-07-01,109.6,10
Newton,2012-08-01,156.8,12
Newton,2012-09-01,90.2,11
Newton,2012-10-01,310.4,16
Newton,2012-11-01,333.0,21
Newton,2012-12-01,385.0,25
Newton,2013-01-01,238.20000000000002,19
Newton,2013-02-01,379.6,19
Newton,2013-03-01,219.6,18
Newton,2013-04-01,218.6,19
Newton,2013-05-01,151.0,13
Newton,2013-06-01,77.4,14
Newton,2013-07-01,141.8,12
Newton,2013-08-01,185.2,17
Newton,2013-09-01,345.8,18
Newton,2013-10-01,371.6,22
Newton,2013-11-01,264.4,26
Newton,2013-12-01,187.4,13
Newton,2014-01-01,62.4,7
Newton,2014-02-01,0.4,1
Newton,2014-03-01,99.8,6
Newton,2014-04-01,297.4,18
Newton,2014-05-01,227.79999999999998,17
Newton,2014-06-01,125.0,13
Newton,2014-07-01,221.8,14
Newton,2014-08-01,245.6,20
Newton,2014-09-01,96.2,7
Newton,2014-10-01,141.8,13
Newton,2014-11-01,303.8,25
Newton,2014-12-01,382.6,22
